Sun May 10 19:58:24 +0000 2015,RT @Ebattle_8: Blessed To Say I Have Received my First Offer From Ohio University 🙌🏽🏈🏈#Bobcats http://t.co/TBWlNEK7Cx
Sun May 10 19:08:40 +0000 2015,@CaitlinMann13 Top of #bobcats leaderboard! Need to clean up your inbox? Unroll.Me can help: http://t.co/QS03eeF40m
Sun May 10 18:55:24 +0000 2015,10 more minutes then bros graduation and will get to sit here forever and a life time! Congrats bro!! 🎓🎓#graduation #bobcats
Sun May 10 18:15:31 +0000 2015,Good luck #Bobcats at the #ECAC Regatta. Go #Bates Rowers! See you in Sacramento!
Sun May 10 16:43:48 +0000 2015,@C_Amason15 Leading the way in #bobcats! Tired of unwanted subscription emails? Try Unroll.Me: http://t.co/QS03eeF40m
Sun May 10 16:27:57 +0000 2015,Conference Championship in 30 minutes! Let's get a W and keep the season going boys. #bobcats
Sun May 10 16:20:53 +0000 2015,US #Wildlife Services slaughtered 322 gray wolves &amp; 796 #BobCats 2014 @CenterForBioDiv http://t.co/5eUVbZDgfb http://t.co/HHzGnZ6sg3
Sun May 10 16:11:23 +0000 2015,RT @tutticontenti: #AaronRhoads and this other jerk love to trap and #kill #bobcats. http://t.co/2p2iEqyfVY
Sun May 10 15:42:17 +0000 2015,First scrimmage at Forrest High School #GCHS #FootballTime #Bobcats https://t.co/2F9rBnvDAM
Sun May 10 13:31:35 +0000 2015,@CoachBrannigan Top of #bobcats today! Organize your emails: quickly and easily! Try Unroll.Me http://t.co/QS03eeF40m
Sun May 10 12:34:37 +0000 2015,Wishing our hometown #BatesCollege #Bobcats the warmest of congratulations on a historic run in the… https://t.co/eEOoZIZi9l
Sun May 10 10:37:51 +0000 2015,#Bobcats 【RETWEET】 #Followback #Follow #TFB #TFBJP #F4F #FF #Me #Love #TF #Like #MGWV @Hetlau http://t.co/TDfWzTU1RA
Sun May 10 08:18:11 +0000 2015,http://t.co/EEkB0NdMH9: Kobe Bryant 58 Points vs Charlotte Bobcats http://t.co/9JEAYQ89m5 #bobcats #bryant #charlotte #kobe #points
Sun May 10 05:55:08 +0000 2015,#AaronRhoads and this other jerk love to trap and #kill #bobcats. http://t.co/DB9xAe3fuX http://t.co/z2vBAUfg4p
Sun May 10 05:20:47 +0000 2015,RT @tutticontenti: #AaronRhoads and this other jerk love to trap and #kill #bobcats. http://t.co/2p2iEqyfVY
Sun May 10 04:57:37 +0000 2015,RT @tutticontenti: #AaronRhoads and this other jerk love to trap and #kill #bobcats. http://t.co/2p2iEqyfVY
Sun May 10 04:56:34 +0000 2015,Official wellness product of the #Charlotte #Bobcats is you guessed it #Vemma!!!!!!! How is that not pick and... http://t.co/wYiQJ2sJm1
Sun May 10 04:52:56 +0000 2015,RT @countrypetgal5: "@tutticontenti: #AaronRhoads and this other jerk love to trap and #kill #bobcats. http://t.co/lK84t5GQMQ" You are sick.
Sun May 10 04:52:07 +0000 2015,"@tutticontenti: #AaronRhoads and this other jerk love to trap and #kill #bobcats. http://t.co/lK84t5GQMQ" You are sick.
Sun May 10 04:52:06 +0000 2015,RT @tutticontenti: #AaronRhoads and this other jerk love to trap and #kill #bobcats. http://t.co/2p2iEqyfVY
Sun May 10 04:50:30 +0000 2015,#AaronRhoads and this other jerk love to trap and #kill #bobcats. http://t.co/2p2iEqyfVY
Sun May 10 04:42:39 +0000 2015,#MercerLawing is "addicted" to trapping and killing #bobcats. 
He's a serial killing asshole. http://t.co/SGN9DWQA3G
Sun May 10 04:10:28 +0000 2015,The actual best day ever: @realGpad is going to be a panel guest at #Asylum14! Good luck and don't be nervous, babe! We 💜 you! Go #BOBCATS!
Sun May 10 03:58:10 +0000 2015,So happy for her ❤ #Bates #Bobcats #Maine http://t.co/DLlq4RwjS1
Sun May 10 02:32:09 +0000 2015,#BobcatsInLA got #nickandstefs to open a bit early on #Saturday. #ouohyeah #bobcats #losangeles… https://t.co/opuldGcs0C
Sun May 10 02:05:01 +0000 2015,RT @RyanEstis: .@ChadEstis and family pre #Symposium44 @OhioUSportsAd distinguished alumni acceptance! #Bobcats http://t.co/cio4LTLrBi
Sun May 10 02:02:44 +0000 2015,RT @RyanEstis: .@ChadEstis and family pre #Symposium44 @OhioUSportsAd distinguished alumni acceptance! #Bobcats http://t.co/cio4LTLrBi
Sun May 10 02:01:11 +0000 2015,#Bobcats Enis lands Michigan offer - Michigan extended an offer to 2016 three-star running back Kiante Enis... http://t.co/hhrbbhoekT
Sun May 10 01:00:11 +0000 2015,RT @Shyblake1: #Bobcats🙈🙉🙊 #MSU http://t.co/HhQFw6GTeg
Sun May 10 00:55:38 +0000 2015,Let's make this live Af #bobcats 💯 #TXST http://t.co/KSzur9Hgxi
Sun May 10 00:51:53 +0000 2015,@UPGBaseball good run this year boys proud of all you guys and the season you had keep your heads up #BobCats #BobCatsForever
Sun May 10 00:41:00 +0000 2015,What's good for tonight #bobcats send in your parties early to get them turnt tonight #TXST 💎🐾💎🐾💎🐾
Sun May 10 00:19:01 +0000 2015,RT @tutticontenti: Ashley is a waste of oxygen who loves to abuse and #kill #bobcats.    
She's a serial killer in Oklahoma. http://t.co/4e…
Sun May 10 00:06:17 +0000 2015,RT @PeterKiss32: Great talk with Coach Moore from Quinnipiac!!! Love their program! Proud to say I have an offer from them!! #Bobcats http:…
Sat May 09 22:50:28 +0000 2015,RT @petermcarey: Win or lose, the Bates Lax Alums are proud of this team!! #lax #lacrosse  #lax #Bobcats @BatesSports @BatesLacrosse @DougC…
Sat May 09 22:45:27 +0000 2015,@CheerMotion You're top of #bobcats! Want to declutter you inbox quickly? Try Unroll.Me: http://t.co/QS03eeF40m
Sat May 09 22:21:25 +0000 2015,Bobcats' 2nd place group pic. Congratulations bobkitties! 

#bobcats #kicks #graduation #karma #karmasport #ksa... http://t.co/cMjknJNUIH
Sat May 09 21:34:25 +0000 2015,Ramon Sessions should been a #Hornet. #NBA #justsaying #Bobcats #CharlotteHornets
Sat May 09 21:14:42 +0000 2015,#Texas #State #Bobcats None Better T-Shirt - Black http://t.co/4Vhf7NrnDp http://t.co/QxFaek3gVV
Sat May 09 20:54:21 +0000 2015,Go Cats! #montanastate #Bobcats #graduation  https://t.co/ZUHbjHklaL
Sat May 09 19:16:01 +0000 2015,RT @MemorialPISD: Mark Your Calendar Lady #Bobcats June 8-12 &amp; July 20-24 @PlanoEastHoops  will host summer basketball camp. See Flyer http…
Sat May 09 19:08:48 +0000 2015,@petermcarey Leading the way in #bobcats! Tired of unwanted subscription emails? Try Unroll.Me: http://t.co/QS03eeF40m
Sat May 09 19:01:30 +0000 2015,RT @petermcarey: Win or lose, the Bates Lax Alums are proud of this team!! #lax #lacrosse  #lax #Bobcats @BatesSports @BatesLacrosse @DougC…
Sat May 09 18:55:42 +0000 2015,RT @tutticontenti: Ashley is a waste of oxygen who loves to abuse and #kill #bobcats.    
She's a serial killer in Oklahoma. http://t.co/4e…
Sat May 09 18:51:44 +0000 2015,RT @tutticontenti: Ashley is a waste of oxygen who loves to abuse and #kill #bobcats.    
She's a serial killer in Oklahoma. http://t.co/4e…
Sat May 09 18:49:23 +0000 2015,RT @tutticontenti: Ashley is a waste of oxygen who loves to abuse and #kill #bobcats.    
She's a serial killer in Oklahoma. http://t.co/4e…
Sat May 09 18:48:25 +0000 2015,RT @petermcarey: Win or lose, the Bates Lax Alums are proud of this team!! #lax #lacrosse  #lax #Bobcats @BatesSports @BatesLacrosse @DougC…
Sat May 09 18:46:19 +0000 2015,RT @petermcarey: Win or lose, the Bates Lax Alums are proud of this team!! #lax #lacrosse  #lax #Bobcats @BatesSports @BatesLacrosse @DougC…
Sat May 09 18:42:22 +0000 2015,RT @tutticontenti: Ashley is a waste of oxygen who loves to abuse and #kill #bobcats.    
She's a serial killer in Oklahoma. http://t.co/4e…
Sat May 09 18:34:29 +0000 2015,RT @tutticontenti: Ashley is a waste of oxygen who loves to abuse and #kill #bobcats.    
She's a serial killer in Oklahoma. http://t.co/4e…
