Sun May 10 19:59:46 +0000 2015,RT @JasonLloydABJ: End 1Q: Bulls 28, #Cavs 26. James 9p,4r,3a,4to; Thompson 4p, Irving 2p,0a,0/3 fg. CHI Rose 9p, Butler 9p. CLE 52%, 6TO; …
Sun May 10 19:59:43 +0000 2015,RT @CavsJoeG After 1Q in CHI, #Cavs down, 28-26, both teams shooting 52% FG; @KingJames, 9pts, 4-8 FG, 4reb, 3asst; D. Rose, Butler, 9pts ap
Sun May 10 19:59:39 +0000 2015,@FaafouG #AllinCavs #TeamLeBron #Cavs #23 🇺🇸🏆🏀
Sun May 10 19:59:38 +0000 2015,RT @Rong1203: As the announcer said Lebron is unstoppable when he goes to glass. So @KingJames go the fning glass and stop settling on jump…
Sun May 10 19:59:36 +0000 2015,RT @SN_Ohio: Retweet if you think the #Cavs take this must win game. http://t.co/tj3C9MFmh2
Sun May 10 19:59:36 +0000 2015,The only thing that Lebron makes look easy these days is a pass #Bulls #Cavs
Sun May 10 19:59:36 +0000 2015,#NBAPlayoffs East SF Game 4 #Bulls 28 #Cavs 26 End Of 1st Qtr
Sun May 10 19:59:34 +0000 2015,Looking good #Bulls keep it up! Defeat the #Cavs
Sun May 10 19:59:34 +0000 2015,RT @CavsJMike: Kanye West just jumped on the floor and rapped during a timeout....Bulls 18  #Cavs 16 in the first http://t.co/7YjbOl6iQg
Sun May 10 19:59:33 +0000 2015,End of 1Q #Bulls 28 #Cavs 26  LeBron 9pts 4r 3a Butler 9pts
Cavs FG 52.4% Bulls 52.2%
3pt Bulls 2/4  Cavs 2/6
Sun May 10 19:59:33 +0000 2015,RT @CBullsbball: #Bulls lead #Cavs 28-26 at the end of the 1st quarter
Sun May 10 19:59:30 +0000 2015,#Cavs settle on way to many jump shots, attack the damn basket. PLEASE PLEAS PLEASE
Sun May 10 19:59:30 +0000 2015,RT @SportsQuotient: Derrick Rose has 9 points and the #Bulls lead the #Cavs 18-16! http://t.co/iNvIXSgIJK
Sun May 10 19:59:29 +0000 2015,More Delly post game please. #Cavs
Sun May 10 19:59:29 +0000 2015,I wonder which Kanye West showed up @ The bulls vs #Cavs game...Kanye Kardashian?
Sun May 10 19:59:27 +0000 2015,End of 1Q: #Bulls 28, #Cavs 26. LeBron 9 points, 4 rebounds, 3 assists, 4 turnovers. Derrick Rose and Jimmy Butler each with 9 points.
Sun May 10 19:59:24 +0000 2015,JESUS, TAKE THE WHEEL. #CAVS
Sun May 10 19:59:24 +0000 2015,End Q1: #Bulls 28, #Cavs 26. Bulls shooting and defending well early; Cavs giving Bulls too much by turning ball over. LBJ has 9p-4r-3a.
Sun May 10 19:59:23 +0000 2015,Oh, #Cavs only down 2? Just checked in on Twitter and expected much worse based on the panic in my timeline.
Sun May 10 19:59:23 +0000 2015,RT @CavsJMike: Kanye West just jumped on the floor and rapped during a timeout....Bulls 18  #Cavs 16 in the first http://t.co/7YjbOl6iQg
Sun May 10 19:59:22 +0000 2015,#Bulls (+3) lead #Cavs 28-26 thanks to late scoring flurry that should make OVER bettors happy. LeBron has 9 points. In-game: CLE -1.5/199.5
Sun May 10 19:59:22 +0000 2015,RT @CavsNationNet: Mozgov Blocks Rose &amp; posterizes Noah! #mozgov #cavs #bulls #playoffs https://t.co/CLJVq8rufL
Sun May 10 19:59:21 +0000 2015,RT @CavsJMike: Kanye West just jumped on the floor and rapped during a timeout....Bulls 18  #Cavs 16 in the first http://t.co/7YjbOl6iQg
Sun May 10 19:59:20 +0000 2015,Considering how confident #Bulls have looked on offense, #Cavs only being down 2 after 1st Q seems miraculous
Sun May 10 19:59:20 +0000 2015,RT @CavsJMike Kanye West just jumped on the floor and rapped during a timeout....Bulls 18  #Cavs 16 in the first http://t.co/oCtCp5GydK #Cav
Sun May 10 19:59:20 +0000 2015,Can't exactly be thrilled with only a 2 point #Bulls lead with how sloppy the #Cavs were that quarter
